# One-line experiment log (ds_ml_lifecycle.md). Append `YYYY-MM-DD  <one line>`.
2026-06-26  Phase 5 DONE — estimate + LIVE smoke acceptance. orchestrate.estimate_sweep: runs ONE calibration cell (no ledger write) → projects tokens/turns/cost/wall-clock × n_cells (rate-limit headroom is the budget; halt→zeros not raise). CLI estimate wired (rich table + per-model-cost caveat). 169 tests green. **LIVE end-to-end against real Claude (subscription via key-strip):** estimate haiku/low T3 = 963 out-tok/$0.041/11.2s → projected 4 cells $0.16; smoke `run tasks grids/smoke.yaml --task t3 --ledger results/smoke.jsonl` = 4/4 ran, 4 graded_ok, 0 failed (T3 value 1.0 across haiku/sonnet × low/high); report rendered Pareto (★ haiku/low = cheapest at equal quality, cost spread $0.041→$0.198); RESUME re-run = 4 skipped/0 ran; provenance stamped on rows (claude 2.1.193, harness sha, mcp×5, spec_sha, output file present). v1 grid dry-run = 63 cells (21 configs × 3 epochs; max effort opus-only ✓, T2 under research_toolkit worktree variant ✓, T1/T3 under none ✓). Full focused v1 sweep left user-driven (real quota; T2 needs the research repo as a git worktree). README quickstart updated (smoke→estimate→run→report→compare→regrade).
2026-06-26  PR #4 adversarial review (codex gpt-5.5@xhigh + gemini-3.1-pro on the full phases-3-5 branch; big-diff guard omitted analyze/ledger/cli → 2 mis-attributed but real; docs/design/2026-06-26_pr4-adversarial-review.md). 6 code fixes + 1 doc + 1 documented limit. SUBSTANTIVE: (codex-1) revert Phase-3 P6 zero-cost-on-regrade — report dedupes latest-grade-per-run_id so a regraded paid run read as FREE; now preserves original cost. (codex-4/gemini-1) a run ok + grade grader_error was skipped-as-done → invisible + never re-graded; skip now requires grade_status!=grader_error so a fixed grader re-grades stored output FREE on resume (no Claude). Also: capture prefers exact artifact path over newer nested (codex-2); neutral_dir cleared between none cells = isolation (gemini-3); sentinel-file mtime baseline robust to coarse-FS float-vs-floored (gemini-2); regrade total counts only selected suite (codex-5); docs pipe-escape (codex-6); rate-limit-retry shares cwd = documented v1 limit (codex-3). 173 tests (+4 regression); total 92%; gate clean.
2026-07-01  Phase A (PR #5) — bring-up on a fresh clone + 3-voice adversarial review. make install default → pinned GitHub eval-toolkit@v1.12.0 (EVAL_TOOLKIT= for editable); README Setup (uv --seed: a pip-less venv broke the documented path); fail-loud on a bad EVAL_TOOLKIT; .gitignore inline-comment bug had silently un-ignored results//data//.worktrees. Live T3 smoke 4/4. 173 tests.
2026-07-01  Phase B (PR #6) — ship-grade hardening + review. test_analyze importorskip + lazy eval_toolkit imports (CI died at collection when the best-effort install failed → made REQUIRED+pinned, coverage floor 90 made honest); estimate-CLI + t1_dataset tests; hypothesis property tests; gitleaks wired (pre-commit + sha256-verified CI binary); stale docs reconciled. 182→202 tests.
2026-07-01  Phase D (PR #7) — plotting + anchor-strict + review. plot.py consumes ReportCell/CompareRow (never re-aggregates): Pareto scatter / effort curves / A-B forest; `ablation plot` (+plot extra). AnchorGrader(strict) = char-exact under t3-anchor-strict grader_version (free regrade). Review fixes: --task filtered compare_rows; effort curves no longer span variants; a-xor-b fails loud; forest y-axis reading order.
2026-07-01  Phase D (PR #8) — demo-infra showcase A/B + the infra-loading probe. LIVE probe: worktree CLAUDE.md loads; .claude/skills/<name>/SKILL.md loads+invokes; FLAT skills do NOT ("Unknown command") → demo ships SKILL.md dir; T4 prompt degrades to a parseable 0 without the skill; grid._compatible now repo-matches (T2 can't run under demo variants). T2 finding: research_toolkit's flat skills won't load — convert before any T2 run. 204 tests.
2026-07-01  Comprehensive pre-Phase-C ship-review — 3 lenses, 9 sources (3-voice engine ×3 ranges, 5 fresh-eyes subagents, full deep read), ~35 confirmed / 8 refuted (docs/design/2026-07-01_comprehensive-review.md). METHODOLOGY HEADLINE: bootstrap-CI "real" verdict tautological at small n (Type-I ≈21% @ n=4; real=yes on 1e-6 diffs) → exact sign-flip permutation test (real = p<=0.05, zero-diffs excluded, CI demoted to context; showcase → 6 pairs so p=0.031 is reachable); unparseable now counts as honest 0.0 in aggregation; n<5 interval relabelled epoch range; leakage band 0.15→0.05 + reframed metric-pipeline self-test; anchor v2 anti-gaming floor (>=3-word distinct quotes — "Project Vega"×3 scored 1.0 from the prompt alone); T1 $T1_HOLDOUT_PATH now beats the (de-personalized) task default; infra circuit breaker (5 consecutive → halt); pareto variant-aware. 219 tests.
2026-07-02  checkpoint adversarial review (3 voices) → fix package: first-run primacy pre-registration, neutral fixture README, hermetic tool-minimal cells (extended pilot caught a live Bash gold-leak path; round-2: controls zero tool calls, treatments Skill-only). Extended pilot 9 cells all ok incl. first opus + first grader-v2 t3.
2026-07-02  PUBLIC SHOWCASE RUN (pre-registered primary): 54/54 ok, 0 unparseable, 18/18 configs 3/3 epochs; t4 skill A/B 6/6 pairs 0.0→1.0 → Δ=+1.000, exact p=0.0312, real=yes; t3 saturated 1.000; ≈$3.09 equiv, ~9min cell time. Sanitizer caught infra_repo abs-path leak on first live use (field now stripped). Ledger results/showcase.jsonl + 5 figures committed.
2026-07-02  PR #11 merged (main@0fe9a01) after 3-voice review (12 fixed / 5 refuted, docs/design/2026-07-02_pr11-review.md) — the lab shipped as a portfolio piece.
2026-07-02  D6 hardening (chore/d6-hardening) — "clear the runway for T2": task-scoped tool policy (Task.tools → per-call Runner disallowed_tools override, mirrors permission_mode); tool catalog live-verified against installed CLI v2.1.198 (a real --disallowedTools probe distinguishes real names from typos at zero cost — unknown names warn but don't error) → caught "SlashCommand" as a dead deny-list entry (matches no known tool) providing zero protection since some past CLI version; KNOWN_BUILTIN_TOOLS (47 names) + CATALOG_VERIFIED_CLAUDE_VERSION version-drift gate; in-band mechanism capture via --output-format stream-json (RunResult.tools_used → ledger tool_calls), verified against a real captured fixture; sanitizer inverted from a STRIP_FIELDS deny-list to a KEEP_FIELDS allow-list. Residual gap recorded, not silently dropped: no tool-name mechanism can block slash-command injection without also disabling Skill (D6.1). T2 runway surveyed (docs/design/2026-07-02_t2-runway.md): harness side now ready; the binding gate is research_toolkit's flat research-plan skill (not converted, out of scope for this PR — private repo, mid-reconcile); A/B-vs-quality-sweep target left as an open user decision.
2026-07-02  D6 3-voice adversarial review (codex + gemini + blind Claude subagent, docs/design/2026-07-02_d6-review.md) — 11 confirmed/fixed, 5 refuted. Caught a LIVE REGRESSION before merge: capture_mechanism's new stream-json default + T1's json_schema would have silently broken T1 (--json-schema is a synthetic StructuredOutput tool call, confirmed live, which the hermetic deny-list was about to block) → StructuredOutput excluded from HERMETIC_DISALLOWED_TOOLS alongside Skill. Also fixed: task.tools YAML validation (scalar-vs-list footgun + unknown-name silent no-op); spec_sha now covers tool-policy changes (was silently excluded, risking stale-resume across a tools: change); tools_used/tool_calls None-vs-{} ("not measured" vs "measured zero") — the exact overclaim shape PR#11's own review already burned this project on once; estimate now shares run's version gate; a CI-portability bug where the version gate broke on any machine without a matching claude binary, including GitHub Actions (caught by literally stripping claude from PATH and re-running the full suite, not inferred). 261 tests, 94%+ coverage, lint/type clean, re-verified claude-absent-from-PATH.
2026-07-03  Spend audit (docs/design/2026-07-03_spend-audit.md) — all 3312 local session logs aggregated: opus ≈ 96–99% of ALL spend in every window (the reflex is live); main loop 73% vs subagents 27%; books only ~8% of opus output. Decision rule shipped: default sonnet, escalate deliberately. t5 books-validate 27-cell run: task discriminates (haiku ~0.10 low) but opus/max TIES sonnet/high (0.978=0.978) at 3.6× cost + ~200s — the "opus earns it on hard authoring" hedge tested and falsified; max effort waste on every model.
2026-07-04  Pressure test (docs/design/2026-07-04_pressure-test.md, PR #16 = main@ecce9b2) — adversarially built the tasks MOST likely to break "default sonnet": t7 find-bug (6 functions) and t8 hard-math (6 by-hand problems), 3×3×5 grids. NO opus edge anywhere; only haiku ever slips; effort never helps. Honest ceiling caveat: all probes saturated/tied, so strong prior not proof. Grader saga: 3 grading confounds each biased AGAINST verbose (expensive) output — fixed with strict bare-integer numeric mode; unparseable = visible exclusion gated on ~0 rate (t8: 0/45).
2026-07-06  INDEPENDENT AUDIT (docs/audits/2026-07-06_independent-audit.md) — mission clarified (economics-first; infra A/B is the honesty machinery); CLAUDE.md staleness fixed (Phase C shipped, t5–t8, coverage claim → floor-90); prior-art survey (HAL 21,730 rollouts: higher effort REDUCED accuracy in most runs — corroborates; overthinking inverted-U; log-x staircase frontier conventions adopted). Pareto plumbing shipped: 4 token fields persisted to ledger (None=not measured), cost/latency/token across-epoch intervals (same gates as quality), report/plot --x-axis cost|latency|tokens (axis-specific pareto flag; USD vs latency frontiers already disagree on pressure-test-math), staircase + log-x + xhigh/medium effort orders. LIVE re-probe CLI 2.1.201: all 4 model aliases × all 5 efforts accepted (20/20 ok, ≈$1.42) — "max is Opus-only" retired; CLI FOOTGUN found: unknown --effort warns + silently runs default. claude5-refresh grid (13 configs × 3 epochs, t8) = first release-tracking sweep.
